This word frequency data is taken from the one billion word Corpus of Contemporary American English (COCA; www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.

Explanations of the four lists and additional sample data (every tenth word, 1-60,000) can be found at https://www.wordfrequency.info/samples.asp. For a complete explanation of the columns in each list, see https://www.wordfrequency.info/files.asp

If you re-post the list on the web, you must clearly indicate www.wordfrequency.info as the source of the data. Automated queries run every night to find copies of the data that do not follow these guidelines, and you will be forced to remove those copies from your website.

rank	lemma	PoS	freq
1	the	a	50033612
2	be	v	32394756
3	and	c	24778098
4	a	a	24225478
5	of	i	23159162
6	to	t	16770155
7	in	i	15670692
8	i	p	14217601
9	you	p	12079413
10	it	p	11042044
11	have	v	10514314
12	to	i	9232572
13	that	c	8319512
14	for	i	8194970
15	do	v	8186412
16	he	p	6467470
17	with	i	6442861
18	on	i	6080156
19	this	d	5541440
20	n't	x	5285354
21	we	p	5180711
22	that	d	5002963
23	not	x	4655980
24	but	c	4523086
25	they	p	4503650
26	say	v	4096416
27	at	i	4024079
28	what	d	3807502
29	his	a	3718978
30	from	i	3711425
31	go	v	3546732
32	or	c	3420339
33	by	i	3372222
34	get	v	3347615
35	she	p	3188078
36	my	a	3106939
37	can	v	3091046
38	as	c	2946119
39	know	v	2761628
40	if	c	2709809
41	me	p	2638743
42	your	a	2577505
43	all	d	2503556
44	who	p	2493429
45	about	i	2427703
46	their	a	2417058
47	will	v	2372215
48	so	r	2369749
49	would	v	2349400
50	make	v	2290830
51	just	r	2270900
52	up	r	2108756
53	think	v	2077762
54	time	n	2018725
55	there	e	1980173
56	see	v	1958700
57	her	a	1931189
58	as	i	1880190
59	out	r	1828593
60	one	m	1816593
61	come	v	1802158
62	people	n	1800205
63	take	v	1768822
64	year	n	1729962
65	him	p	1717209
66	them	p	1701589
67	some	d	1684262
68	want	v	1671524
69	how	r	1666469
70	when	c	1650353
71	which	d	1613281
72	now	r	1601991
73	like	i	1583444
74	other	j	1539952
75	could	v	1529795
76	our	a	1467955
77	into	i	1461573
78	here	r	1413594
79	then	r	1344434
80	than	c	1342798
81	look	v	1338475
82	way	n	1260011
83	more	r	1248955
84	these	d	1223310
85	no	a	1206112
86	thing	n	1202004
87	well	r	1189096
88	because	c	1167024
89	also	r	1142799
90	two	m	1139973
91	use	v	1126042
92	tell	v	1119692
93	good	j	1111721
94	first	m	1101803
95	man	n	1091176
96	day	n	1068902
97	find	v	1051936
98	give	v	1048189
99	more	d	1037966
100	new	j	1017175
101	one	p	999446
102	us	p	992207
103	any	d	981535
104	those	d	964458
105	very	r	963552
106	her	p	959780
107	need	v	945498
108	back	r	938649
109	there	r	932354
110	should	v	920908
111	even	r	920346
112	only	r	905093
113	many	d	903833
114	really	r	895900
115	work	v	854095
116	life	n	852257
117	why	r	832911
118	right	r	830729
119	down	r	820294
120	on	r	818739
121	try	v	795248
122	let	v	780929
123	something	p	779903
124	too	r	771375
125	call	v	768117
126	woman	n	759817
127	may	v	757742
128	still	r	757548
129	through	i	752325
130	mean	v	748840
131	after	i	745154
132	never	r	744608
133	no	u	743203
134	world	n	732511
135	in	r	726590
136	feel	v	722826
137	yeah	u	703928
138	great	j	696589
139	last	m	692989
140	child	n	685426
141	oh	u	685234
142	over	i	679617
143	ask	v	676596
144	when	r	669530
145	as	r	662376
146	school	n	660191
147	state	n	638012
148	much	d	636642
149	talk	v	635614
150	out	i	634959
151	keep	v	626487
152	leave	v	622651
153	put	v	616952
154	like	v	614691
155	help	v	606887
156	big	j	600364
157	where	r	597351
158	same	d	592441
159	all	r	591610
160	own	d	579172
161	while	c	579023
162	start	v	578246
163	three	m	570885
164	high	j	567720
165	every	a	567233
166	another	d	565094
167	become	v	561963
168	most	r	561354
169	between	i	558517
170	happen	v	552797
171	family	n	544520
172	over	r	538724
173	president	n	538319
174	old	j	537424
175	yes	u	537066
176	house	n	537037
177	show	v	536889
178	again	r	530706
179	student	n	530196
180	so	c	523232
181	seem	v	522940
182	might	v	521992
183	part	n	517693
184	hear	v	516483
185	its	a	511922
186	place	n	508803
187	problem	n	504175
188	where	c	500755
189	believe	v	500511
190	country	n	499369
191	always	r	492943
192	week	n	484834
193	point	n	484094
194	hand	n	481332
195	off	r	479459
196	play	v	478740
197	turn	v	477668
198	few	d	472804
199	group	n	470971
200	such	d	468655
201	against	i	467705
202	run	v	465066
203	guy	n	464082
204	about	r	462995
205	case	n	458383
206	question	n	457301
207	work	n	456169
208	night	n	452094
209	live	v	450380
210	game	n	445149
211	number	n	444412
212	write	v	439865
213	bring	v	439445
214	without	i	438567
215	money	n	437583
216	lot	n	437545
217	most	d	435849
218	book	n	435387
219	system	n	435303
220	government	n	434971
221	next	m	433864
222	city	n	433843
223	company	n	432469
224	story	n	432184
225	today	r	431562
226	job	n	430995
227	move	v	430324
228	must	v	427796
229	bad	j	426558
230	friend	n	423755
231	during	i	423624
232	begin	v	421878
233	love	v	417532
234	each	d	414659
235	hold	v	413837
236	different	j	413578
237	american	j	410698
238	little	j	404660
239	before	i	402959
240	ever	r	402590
241	word	n	402216
242	fact	n	399574
243	right	n	389906
244	read	v	386137
245	anything	p	384508
246	nothing	p	383744
247	sure	j	383701
248	small	j	382563
249	month	n	381833
250	program	n	375708
251	maybe	r	374325
252	right	j	373934
253	under	i	373903
254	business	n	373744
255	home	n	370758
256	kind	n	367584
257	stop	v	366567
258	pay	v	365255
259	study	n	364915
260	since	c	363805
261	issue	n	362137
262	name	n	361916
263	idea	n	358006
264	room	n	357682
265	percent	n	357515
266	far	r	357192
267	away	r	355515
268	law	n	354958
269	actually	r	353857
270	large	j	353703
271	though	c	352608
272	provide	v	351941
273	lose	v	351650
274	power	n	351483
275	kid	n	351451
276	war	n	350575
277	understand	v	349141
278	head	n	348664
279	mother	n	348470
280	real	j	348239
281	best	j	348202
282	team	n	348063
283	eye	n	347153
284	long	r	345462
285	long	j	345005
286	side	n	342841
287	water	n	342574
288	young	j	341002
289	wait	v	339926
290	okay	r	339699
291	both	d	338454
292	yet	r	338408
293	after	c	334050
294	meet	v	333954
295	service	n	332313
296	area	n	331866
297	important	j	331646
298	person	n	330987
299	hey	u	330236
300	thank	v	330129
301	much	r	329230
302	someone	p	328998
